date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/5/81,"Just The Two Of Us, Grover Washington, Jr. With Bill Withers",Just The Two Of Us,"Grover Washington, Jr. With Bill Withers",0.749,0.497,10.0,-12.609,0.0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493.0,0.7955801104972375
9/7/83,"Let's Dance, David Bowie",Let's Dance,David Bowie,0.654,0.743,10.0,-7.44,0.0,0.0605,0.0125,0.0272,0.153,0.632,114.846,457676.0,0.7952286282306164
9/5/81,"The Best Of Times, Styx",The Best Of Times,Styx,0.341,0.324,0.0,-11.864,1.0,0.025,0.13,1.11e-06,0.134,0.321,78.662,257867.0,0.7934065934065935
9/10/82,"I'm So Excited, The Pointer Sisters",I'm So Excited,The Pointer Sisters,0.634,0.889,5.0,-4.997,0.0,0.0408,0.0123,1.88e-05,0.809,0.34,96.566,460653.0,0.7928642220019821
8/5/82,"We Got The Beat, Go-Go's",We Got The Beat,Go-Go's,0.587,0.994,2.0,-5.61,1.0,0.045,0.155,0.0734,0.0319,0.481,151.941,153133.0,0.7916666666666666
9/11/85,"Burning Heart, Survivor",Burning Heart,Survivor,0.652,0.609,9.0,-9.684,0.0,0.028,0.298,8.79e-06,0.0573,0.646,98.125,230107.0,0.7908496732026145
9/6/90,"Nothing Compares 2 U, Sinead O'Connor",Nothing Compares 2 U,Sinead O'Connor,0.512,0.574,5.0,-7.016,1.0,0.0273,0.0425,2.31e-05,0.105,0.161,119.917,280040.0,0.7875
9/4/88,"Need You Tonight, INXS",Need You Tonight,INXS,0.801,0.723,10.0,-4.985,0.0,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518.0,0.7861635220125787
9/7/88,"Do You Love Me, The Contours",Do You Love Me,The Contours,0.596,0.793,5.0,-6.611,1.0,0.0421,0.586,1.86e-06,0.108,0.8,150.256,172947.0,0.784992784992785
8/11/86,"Walk Like An Egyptian, The Bangles",Walk Like An Egyptian,The Bangles,0.711,0.833,11.0,-12.756,1.0,0.0851,0.0144,3.46e-06,0.303,0.756,103.153,203227.0,0.7848664688427299
